"orthogroup" "tissue" "LRT"
"1" "OG0001287" "exp" 2.70762520514094
"2" "OG0001199" "exp" 0.449536580315169
"3" "OG0001082" "exp" 0.336552135362417
"4" "OG0001332" "exp" 0.398303526263106
"5" "OG0001117" "exp" 0.243727317663343
"6" "OG0001084" "exp" 0.669763982443826
"7" "OG0001135" "exp" 2.7114149203997
"8" "OG0001399" "exp" 0.195134745349486
"9" "OG0001245" "exp" 0.252166894796332
"10" "OG0001414" "exp" 8.3593195544567
"11" "OG0001194" "exp" -1.16022855780706
"12" "OG0001500" "exp" 0.336516488231787
"13" "OG0001039" "exp" 0.336473549550881
"14" "OG0001292" "exp" 0.208739283861576
"15" "OG0001064" "exp" 0.336467850424057
"16" "OG0000941" "exp" -1.15311498314633
"17" "OG0000967" "exp" 0.171529951307598
"18" "OG0000987" "exp" 1.43989285239438
"19" "OG0001445" "exp" 1.24542062606787
"20" "OG0000899" "exp" 0.772053459718514
"21" "OG0001451" "exp" 0.142216189245779
"22" "OG0001159" "exp" -0.0974350932384098
"23" "OG0001150" "exp" 0.336455283467075
"24" "OG0001058" "exp" 1.99554431526756
"25" "OG0001443" "exp" 3.3886471860063
"26" "OG0001067" "exp" 0.374083291496007
"27" "OG0000921" "exp" 0.301282973927506
"28" "OG0001438" "exp" 0.0750959224121175
"29" "OG0000971" "exp" 0.309343021683119
"30" "OG0001038" "exp" 1.05979400258223
"31" "OG0001116" "exp" 0.121649496172459
"32" "OG0001130" "exp" 0.336473530617454
"33" "OG0001033" "exp" 0.0553308095804041
"34" "OG0001349" "exp" 0.193670719971344
"35" "OG0001072" "exp" 0.298534048194874
"36" "OG0001005" "exp" 0.0213448554223774
"37" "OG0000939" "exp" 0.172129639151933
"38" "OG0000946" "exp" 3.2118371586611
"39" "OG0001390" "exp" 4.49273949859134
"40" "OG0000996" "exp" 0.012833499740232
"41" "OG0000964" "exp" 0.104582586906439
"42" "OG0001259" "exp" 0.428794652131991
"43" "OG0001201" "exp" 0.277956123279822
"44" "OG0001273" "exp" 0.0246116193598809
"45" "OG0001093" "exp" 0.0263381662927813
"46" "OG0001282" "exp" 0.208663254443309
"47" "OG0000982" "exp" 0.0239201107176328
"48" "OG0001387" "exp" 0.00673361045897991
"49" "OG0001020" "exp" 0.336473549980191
"50" "OG0001002" "exp" 0.181519355610654
"51" "OG0000901" "exp" -1.24025987702225e-07
"52" "OG0001090" "exp" 0.162596381345239
"53" "OG0001329" "exp" -0.0221107893753256
"54" "OG0000929" "exp" 3.14033975811938
"55" "OG0001143" "exp" 0.0315246186637097
"56" "OG0000969" "exp" 0.143172862346983
"57" "OG0001277" "exp" 0.170194979865727
"58" "OG0001297" "exp" 0.0620302722047157
"59" "OG0001453" "exp" 0.0872697252662036
"60" "OG0000942" "exp" 0.0435062473569729
"61" "OG0001087" "exp" 0.227700076103432
"62" "OG0001030" "exp" 12.1237509558794
"63" "OG0001207" "exp" 0.140359793296483
"64" "OG0001008" "exp" 0.0911673396820376
"65" "OG0001177" "exp" -0.0512936042126384
"66" "OG0001339" "exp" 0.134632277560243
"67" "OG0001172" "exp" 0.336513491486002
"68" "OG0001109" "exp" 0.0987925419700773
"69" "OG0001096" "exp" -0.04859677066041
"70" "OG0001040" "exp" 0.329565754850933
"71" "OG0001502" "exp" 0.827818062126497
"72" "OG0000960" "exp" 0.0126913415604548
"73" "OG0001471" "exp" -1.00104634326977
"74" "OG0001345" "exp" 0.335761531842472
"75" "OG0001385" "exp" 0.0238192968515989
"76" "OG0001243" "exp" 0.252553187848299
"77" "OG0001053" "exp" -0.0135208585387261
"78" "OG0001439" "exp" 0.166293470620374
"79" "OG0000958" "exp" 3.62376795237651e-13
"80" "OG0000932" "exp" -0.0145225466696104
"81" "OG0001032" "exp" 0.169049669937955
"82" "OG0001283" "exp" 0.387721288578746
"83" "OG0001423" "exp" 0.0278093281182237
"84" "OG0001167" "exp" 0.042109457515032
"85" "OG0001234" "exp" -0.00553225844848271
"86" "OG0001250" "exp" 0.109463174011914
"87" "OG0001156" "exp" 0.0385581963078749
"88" "OG0001271" "exp" 0.0758810611639973
"89" "OG0001276" "exp" 0.242286026547987
"90" "OG0001410" "exp" 0.336473549495196
"91" "OG0001260" "exp" 0.201646789973999
"92" "OG0001223" "exp" 2.25997209465476
"93" "OG0001075" "exp" 0.175506088271575
"94" "OG0001496" "exp" 0.286184532397975
"95" "OG0001407" "exp" 0.759154213558261
"96" "OG0001326" "exp" -5.63957769372792e-11
"97" "OG0001442" "exp" 0.180096271123851
"98" "OG0000981" "exp" 0.103695534621728
"99" "OG0000994" "exp" 3.15976215389995
"100" "OG0000988" "exp" 0.235719374262896
"101" "OG0000992" "exp" 0.323194116062488
"102" "OG0001337" "exp" 1.17306336063931
"103" "OG0001308" "exp" 0.029045112933634
"104" "OG0001316" "exp" 0.0752508403349594
"105" "OG0001419" "exp" 0.237036835758843
"106" "OG0001302" "exp" 0.103086866816334
"107" "OG0001140" "exp" 0.0708839158250498
"108" "OG0001186" "exp" 0.172002872678604
"109" "OG0001134" "exp" 0.0785608419809094
"110" "OG0001154" "exp" 0.080986122343468
"111" "OG0001293" "exp" 0.230828587559202
"112" "OG0001286" "exp" 0.336656362277338
"113" "OG0001436" "exp" 0.317011359898679
"114" "OG0001398" "exp" 0.877230764997556
"115" "OG0001372" "exp" 0.336427889175823
"116" "OG0001105" "exp" 0.186596911995419
"117" "OG0001145" "exp" 3.58486697411767
"118" "OG0001181" "exp" 0.319898593137601
"119" "OG0001393" "exp" 0.122858585118571
"120" "OG0001417" "exp" 0.254213213804466
"121" "OG0001231" "exp" 0.229345425858661
"122" "OG0001065" "exp" 0.0351657928455751
"123" "OG0001289" "exp" 0.091259307701641
"124" "OG0001450" "exp" 0.305040216306864
"125" "OG0001334" "exp" 0.252197875887802
"126" "OG0001491" "exp" 0.184453092919814
