"Orthogroup" "PS_dup_1" "PS_dup_2" "N_dup_1" "N_dup_2" "DN" "C" "SB" "SP"
"96" "OG0001037" 0 0 0 0 0 1 1 0
"97" "OG0001038" 0 1 0 0 0 0.158205323036276 0.158205323036276 0
"98" "OG0001039" 0 0.94697305628858 0.000641296934314735 0 0 0.36296788665577 0.358041240044376 0
"99" "OG0001040" 0 0.997785902668075 2.1997335326845e-05 0 0 0.453056900762423 0.45281670895184 0
"100" "OG0001041" 1 1 0 0 0 0 0 0
"101" "OG0001043" 0 0.367334866553215 0.0107999233390059 0 0 0.205703701588454 0.166409525275637 0
"102" "OG0001044" 1 0 0 0 0 0 0 0
"103" "OG0001045" 0 0 0 0 0 0 0 1
"104" "OG0001047" 0 0.557250700237158 0 0 0 0.365268172304345 0.365268172304345 0
"105" "OG0001048" 0 0 0.0821761181489379 0 0 0.524514157572718 0.116174844244226 0
"106" "OG0001050" 1 0 0 0 0 0 0 0
"107" "OG0001051" 0 1 0 0 0 0 0 0
"108" "OG0001052" 0 0 0 1 0 0 0 0
"109" "OG0001053" 0 0 0.000387657472438993 0 0 0.997235460390899 0.696585980573651 0
"110" "OG0001057" 0 1 0 0 0 0.298522053486516 0.298522053486516 0
"111" "OG0001058" 0 0.936233422119178 0 0 0 0.121156497973562 0.121156497973562 0
"112" "OG0001060" 1 0 0 0 0 0 0 0
"113" "OG0001061" 0 0 0.215735976495311 0 0 0 0 0
"114" "OG0001063" 0 0 1 0 0 0 0 0
"115" "OG0001064" 0 0 0.296573264723775 0 0 0.515851911922938 0 0
"116" "OG0001065" 0 1 0 0 0 0 0 0
"117" "OG0001067" 1 0 0 0 0 0 0 0
"118" "OG0001068" 0 0 0 1 0 0 0 0
"119" "OG0001069" 0 0 0 0.620244000092004 0 0.182485931067138 0 0
"120" "OG0001071" 0 0 0.239299246175999 0.120198905151324 0 0.450968511766607 0 0.0996587990742389
"121" "OG0001072" 0 0.880105056878381 0.00200007338777202 0 0 0.198620245758403 0.190871655426232 0
